clusters,avgdist
1,2.771960317924299
2,2.4163835845520034
3,2.208150362111947
4,1.9110891228598048
5,1.7577101720387185
6,1.6797414346547428
7,1.6199134733846594
8,1.5967768139674288
9,1.5115778528275938
10,1.4889842249354552
11,1.4519935453464894
12,1.4253567977451964
13,1.3985007770314026
14,1.385990945831044
15,1.3643012077871908
16,1.3499244656528815
17,1.3172410580018326
18,1.2890479043031533
19,1.2679604149875818
